energy_MeV,relDiff_north_percent,relDiff_south_percent,relDiff_west_percent,relDiff_east_percent
-1.0,,,,
0.025,0.03294238309273521,0.03294238309273521,0.03294238309273521,0.03294238309273521
0.07500000000000001,0.4509077000029435,0.4509077000029435,0.4509077000029435,0.4509077000029435
0.125,0.8974206999463031,0.8974206999463031,0.8974206999463031,0.8974206999463031
0.175,0.2632290377200144,0.2632290377200144,0.2632290377200144,0.2632290377200144
0.225,0.9426287997716567,0.9426287997716567,0.9426287997716567,0.9426287997716567
0.275,0.849232437561427,0.849232437561427,0.849232437561427,0.849232437561427
0.32499999999999996,0.6317469319388271,0.6317469319388271,0.6317469319388271,0.6317469319388271
0.375,0.15906991745957075,0.15906991745957075,0.15906991745957075,0.15906991745957075
0.42500000000000004,0.3674344534301365,0.3674344534301365,0.3674344534301365,0.3674344534301365
0.475,0.5225849411249097,0.5225849411249097,0.5225849411249097,0.5225849411249097
0.525,0.7482850318074541,0.7482850318074541,0.7482850318074541,0.7482850318074541
0.575,0.2471435626245232,0.2471435626245232,0.2471435626245232,0.2471435626245232
0.625,0.3723486803799986,0.3723486803799986,0.3723486803799986,0.3723486803799986
0.675,0.19727425349278324,0.19727425349278324,0.19727425349278324,0.19727425349278324
0.725,0.8225082370273067,0.8225082370273067,0.8225082370273067,0.8225082370273067
0.775,0.4642226798058595,0.4642226798058595,0.4642226798058595,0.4642226798058595
0.825,0.6417942720106978,0.6417942720106978,0.6417942720106978,0.6417942720106978
0.875,0.44695902692064826,0.44695902692064826,0.44695902692064826,0.44695902692064826
0.925,0.39094427320799774,0.39094427320799774,0.39094427320799774,0.39094427320799774
0.975,1.5676380836447548,1.5676380836447548,1.5676380836447548,1.5676380836447548
1.025,0.49576921906112764,0.49576921906112764,0.49576921906112764,0.49576921906112764
1.0750000000000002,0.3859825323211137,0.3859825323211137,0.3859825323211137,0.3859825323211137
1.125,0.4746472044300474,0.4746472044300474,0.4746472044300474,0.4746472044300474
1.1749999999999998,0.3141501834780187,0.3141501834780187,0.3141501834780187,0.3141501834780187
1.225,0.34827111566849406,0.34827111566849406,0.34827111566849406,0.34827111566849406
1.275,0.22866523995192228,0.22866523995192228,0.22866523995192228,0.22866523995192228
1.3250000000000002,0.1125346642036066,0.1125346642036066,0.1125346642036066,0.1125346642036066
1.375,0.5064032811584432,0.5064032811584432,0.5064032811584432,0.5064032811584432
1.4249999999999998,0.15307981275278454,0.15307981275278454,0.15307981275278454,0.15307981275278454
1.475,0.42877839672221,0.42877839672221,0.42877839672221,0.42877839672221
1.525,0.1927261758559071,0.1927261758559071,0.1927261758559071,0.1927261758559071
1.5750000000000002,0.4554956877700624,0.4554956877700624,0.4554956877700624,0.4554956877700624
1.625,0.07999656685984875,0.07999656685984875,0.07999656685984875,0.07999656685984875
1.6749999999999998,0.5470006894966792,0.5470006894966792,0.5470006894966792,0.5470006894966792
1.725,0.04777472171224961,0.04777472171224961,0.04777472171224961,0.04777472171224961
1.775,0.3344303662772509,0.3344303662772509,0.3344303662772509,0.3344303662772509
1.8250000000000002,0.21767124994806633,0.21767124994806633,0.21767124994806633,0.21767124994806633
1.875,0.5275102210518996,0.5275102210518996,0.5275102210518996,0.5275102210518996
1.9249999999999998,0.26918024901486226,0.26918024901486226,0.26918024901486226,0.26918024901486226
1.975,0.578076979364844,0.578076979364844,0.578076979364844,0.578076979364844
2.025,0.5505864337173301,0.5505864337173301,0.5505864337173301,0.5505864337173301
2.075,0.5811181119383456,0.5811181119383456,0.5811181119383456,0.5811181119383456
2.125,0.09379911778126511,0.09379911778126511,0.09379911778126511,0.09379911778126511
2.175,0.3521034696136566,0.3521034696136566,0.3521034696136566,0.3521034696136566
2.225,0.25993448226749527,0.25993448226749527,0.25993448226749527,0.25993448226749527
2.275,0.07071708852571919,0.07071708852571919,0.07071708852571919,0.07071708852571919
2.325,0.13347138858779328,0.13347138858779328,0.13347138858779328,0.13347138858779328
2.375,1.650703371419073,1.650703371419073,1.650703371419073,1.650703371419073
2.425,0.7885666246321877,0.7885666246321877,0.7885666246321877,0.7885666246321877
2.475,0.32336704678243555,0.32336704678243555,0.32336704678243555,0.32336704678243555
2.525,0.4464433504060136,0.4464433504060136,0.4464433504060136,0.4464433504060136
2.575,0.24309497603715538,0.24309497603715538,0.24309497603715538,0.24309497603715538
2.625,0.3056163136401631,0.3056163136401631,0.3056163136401631,0.3056163136401631
2.675,0.10117817720808393,0.10117817720808393,0.10117817720808393,0.10117817720808393
2.725,0.09120720155094901,0.09120720155094901,0.09120720155094901,0.09120720155094901
2.775,0.09694395716000771,0.09694395716000771,0.09694395716000771,0.09694395716000771
2.825,0.010202668726636685,0.010202668726636685,0.010202668726636685,0.010202668726636685
2.875,0.02254406489188821,0.02254406489188821,0.02254406489188821,0.02254406489188821
2.925,,,,
2.975,,,,
